Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"11.535,39","11.578,93","11.637,50","11.700,63","11.767,21","11.838,42","11.908,84","11.989,74","12.082,56","12.249,19","12.355,87","12.447,48"
2,"11.537,62","11.580,04","11.639,99","11.702,51","11.769,55","11.840,70","11.911,21","11.992,44","12.085,67","12.255,67","12.358,25","12.450,79"
3,"11.539,85","11.581,16","11.642,47","11.704,39","11.771,90","11.842,99","11.913,59","11.995,14","12.088,77","12.262,16","12.360,64","12.454,10"
4,"11.542,07","11.582,28","11.644,96","11.706,28","11.774,25","11.845,27","11.915,96","11.997,84","12.091,88","12.268,65","12.363,02","12.457,40"
5,"11.544,30","11.583,40","11.647,45","11.708,16","11.776,60","11.847,56","11.918,34","12.000,54","12.094,99","12.275,14","12.365,41","12.460,71"
6,"11.546,53","11.584,52","11.649,94","11.710,04","11.778,95","11.849,84","11.920,72","12.003,24","12.098,10","12.281,64","12.367,79","12.464,02"
7,"11.548,76","11.585,64","11.652,43","11.711,93","11.781,29","11.852,13","11.923,09","12.005,94","12.101,21","12.288,14","12.370,18","12.467,34"
8,"11.550,99","11.586,76","11.654,92","11.713,81","11.783,64","11.854,42","11.925,47","12.008,64","12.104,32","12.294,64","12.372,57","12.470,65"
9,"11.553,22","11.587,88","11.657,41","11.715,70","11.785,99","11.856,71","11.927,85","12.011,34","12.107,43","12.301,15","12.374,96","12.473,96"
10,"11.554,34","11.590,36","11.659,29","11.718,04","11.788,26","11.859,07","11.930,53","12.014,43","12.113,84","12.303,52","12.378,25","12.474,36"
11,"11.555,45","11.592,83","11.661,16","11.720,37","11.790,54","11.861,44","11.933,22","12.017,52","12.120,25","12.305,90","12.381,54","12.474,76"
12,"11.556,57","11.595,31","11.663,04","11.722,71","11.792,82","11.863,80","11.935,90","12.020,61","12.126,66","12.308,27","12.384,82","12.475,17"
13,"11.557,69","11.597,79","11.664,91","11.725,05","11.795,09","11.866,17","11.938,59","12.023,70","12.133,08","12.310,65","12.388,11","12.475,57"
14,"11.558,80","11.600,27","11.666,79","11.727,39","11.797,37","11.868,54","11.941,28","12.026,79","12.139,50","12.313,02","12.391,41","12.475,97"
15,"11.559,92","11.602,74","11.668,67","11.729,73","11.799,64","11.870,90","11.943,96","12.029,88","12.145,93","12.315,40","12.394,70","12.476,37"
16,"11.561,04","11.605,22","11.670,55","11.732,06","11.801,92","11.873,27","11.946,65","12.032,97","12.152,36","12.317,78","12.397,99","12.476,78"
17,"11.562,15","11.607,70","11.672,42","11.734,40","11.804,20","11.875,64","11.949,34","12.036,06","12.158,79","12.320,15","12.401,28","12.477,18"
18,"11.563,27","11.610,18","11.674,30","11.736,74","11.806,48","11.878,01","11.952,03","12.039,16","12.165,22","12.322,53","12.404,58","12.477,58"
19,"11.564,39","11.612,66","11.676,18","11.739,08","11.808,76","11.880,38","11.954,72","12.042,25","12.171,66","12.324,91","12.407,87","12.477,98"
20,"11.565,51","11.615,14","11.678,06","11.741,43","11.811,03","11.882,75","11.957,41","12.045,35","12.178,10","12.327,29","12.411,17","12.478,38"
21,"11.566,62","11.617,63","11.679,94","11.743,77","11.813,31","11.885,12","11.960,10","12.048,45","12.184,55","12.329,67","12.414,47","12.478,79"
22,"11.567,74","11.620,11","11.681,82","11.746,11","11.815,59","11.887,49","11.962,79","12.051,54","12.191,00","12.332,05","12.417,76","12.479,19"
23,"11.568,86","11.622,59","11.683,70","11.748,45","11.817,87","11.889,86","11.965,49","12.054,64","12.197,45","12.334,43","12.421,06","12.479,59"
24,"11.569,98","11.625,08","11.686,58","11.750,79","11.820,15","11.892,23","11.968,18","12.057,74","12.203,91","12.336,81","12.424,36","12.479,99"
25,"11.571,10","11.627,56","11.687,46","11.753,14","11.822,44","11.894,60","11.970,87","12.060,84","12.210,36","12.339,19","12.427,66","12.480,40"
26,"11.572,21","11.630,04","11.689,34","11.755,48","11.824,72","11.896,97","11.973,57","12.063,94","12.216,83","12.341,57","12.430,96","12.480,80"
27,"11.573,33","11.632,53","11.691,22","11.757,83","11.827,00","11.899,34","11.976,26","12.067,04","12.223,29","12.343,95","12.434,27","12.481,20"
28,"11.574,45","11.635,01","11.693,10","11.760,17","11.829,28","11.901,72","11.978,96","12.070,14","12.229,76","12.346,33","12.437,57","12.481,60"
29,"11.575,57",,"11.694,98","11.762,52","11.831,56","11.904,09","11.981,65","12.073,25","12.236,23","12.348,72","12.440,87","12.482,01"
30,"11.576,69",,"11.696,86","11.764,86","11.833,85","11.906,46","11.984,35","12.076,35","12.242,71","12.351,10","12.444,18","12.482,41"
31,"11.577,81",,"11.698,75",,"11.836,13",,"11.987,04","12.079,45",,"12.353,48",,"12.482,81"
