Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"15.771,44","15.795,35","15.833,26","15.811,53","15.857,17","15.937,15","16.004,45","16.033,39","16.013,72","16.099,24","16.217,19","16.258,32"
2,"15.772,97","15.795,86","15.834,96","15.810,00","15.859,81","15.939,71","16.006,58","16.033,90","16.012,68","16.103,52","16.220,84","16.258,86"
3,"15.774,49","15.796,37","15.836,65","15.808,47","15.862,45","15.942,27","16.008,71","16.034,42","16.011,65","16.107,79","16.224,49","16.259,41"
4,"15.776,02","15.796,88","15.838,34","15.806,94","15.865,08","15.944,84","16.010,84","16.034,94","16.010,61","16.112,07","16.228,15","16.259,95"
5,"15.777,54","15.797,39","15.840,04","15.805,41","15.867,72","15.947,41","16.012,98","16.035,45","16.009,58","16.116,35","16.231,80","16.260,49"
6,"15.779,06","15.797,90","15.841,73","15.803,87","15.870,36","15.949,97","16.015,11","16.035,97","16.008,55","16.120,63","16.235,45","16.261,03"
7,"15.780,59","15.798,40","15.843,43","15.802,34","15.873,00","15.952,54","16.017,24","16.036,49","16.007,51","16.124,92","16.239,10","16.261,57"
8,"15.782,11","15.798,91","15.845,12","15.800,81","15.875,64","15.955,10","16.019,37","16.037,00","16.006,48","16.129,20","16.242,76","16.262,11"
9,"15.783,64","15.799,42","15.846,82","15.799,28","15.878,28","15.957,67","16.021,50","16.037,52","16.005,44","16.133,48","16.246,41","16.262,66"
10,"15.784,15","15.801,11","15.845,28","15.801,91","15.880,83","15.959,79","16.022,02","16.036,48","16.009,69","16.137,11","16.246,95","16.262,66"
11,"15.784,66","15.802,80","15.843,75","15.804,53","15.883,39","15.961,92","16.022,53","16.035,45","16.013,94","16.140,74","16.247,49","16.262,66"
12,"15.785,17","15.804,49","15.842,21","15.807,16","15.885,95","15.964,04","16.023,05","16.034,41","16.018,20","16.144,37","16.248,03","16.262,66"
13,"15.785,68","15.806,18","15.840,68","15.809,79","15.888,50","15.966,17","16.023,57","16.033,38","16.022,45","16.148,01","16.248,58","16.262,66"
14,"15.786,18","15.807,87","15.839,14","15.812,42","15.891,06","15.968,29","16.024,08","16.032,34","16.026,71","16.151,64","16.249,12","16.262,66"
15,"15.786,69","15.809,56","15.837,61","15.815,05","15.893,62","15.970,42","16.024,60","16.031,31","16.030,97","16.155,28","16.249,66","16.262,66"
16,"15.787,20","15.811,26","15.836,07","15.817,68","15.896,17","15.972,54","16.025,12","16.030,27","16.035,23","16.158,91","16.250,20","16.262,66"
17,"15.787,71","15.812,95","15.834,54","15.820,31","15.898,73","15.974,67","16.025,63","16.029,24","16.039,49","16.162,55","16.250,74","16.262,66"
18,"15.788,22","15.814,64","15.833,00","15.822,94","15.901,29","15.976,79","16.026,15","16.028,20","16.043,75","16.166,19","16.251,28","16.262,66"
19,"15.788,73","15.816,33","15.831,47","15.825,57","15.903,85","15.978,92","16.026,67","16.027,17","16.048,01","16.169,82","16.251,82","16.262,66"
20,"15.789,24","15.818,02","15.829,93","15.828,20","15.906,41","15.981,05","16.027,18","16.026,13","16.052,27","16.173,46","16.252,37","16.262,66"
21,"15.789,75","15.819,72","15.828,40","15.830,83","15.908,97","15.983,17","16.027,70","16.025,10","16.056,54","16.177,10","16.252,91","16.262,66"
22,"15.790,26","15.821,41","15.826,87","15.833,46","15.911,52","15.985,30","16.028,22","16.024,06","16.060,80","16.180,74","16.253,45","16.262,66"
23,"15.790,77","15.823,10","15.825,33","15.836,10","15.914,09","15.987,43","16.028,73","16.023,03","16.065,07","16.184,39","16.253,99","16.262,66"
24,"15.791,28","15.824,79","15.823,80","15.838,73","15.916,65","15.989,55","16.029,25","16.021,99","16.069,33","16.188,03","16.254,53","16.262,66"
25,"15.791,78","15.826,49","15.822,27","15.841,36","15.919,21","15.991,68","16.029,77","16.020,96","16.073,60","16.191,67","16.255,07","16.262,66"
26,"15.792,29","15.828,18","15.820,73","15.844,00","15.921,77","15.993,81","16.030,28","16.019,92","16.077,87","16.195,31","16.255,61","16.262,66"
27,"15.792,80","15.829,87","15.819,20","15.846,63","15.924,33","15.995,94","16.030,80","16.018,89","16.082,14","16.198,96","16.256,16","16.262,66"
28,"15.793,31","15.831,57","15.817,67","15.849,27","15.926,89","15.998,07","16.031,32","16.017,85","16.086,42","16.202,60","16.256,70","16.262,66"
29,"15.793,82",,"15.816,13","15.851,90","15.929,45","16.000,20","16.031,83","16.016,82","16.090,69","16.206,25","16.257,24","16.262,66"
30,"15.794,33",,"15.814,60","15.854,54","15.932,02","16.002,32","16.032,35","16.015,78","16.094,96","16.209,90","16.257,78","16.262,66"
31,"15.794,84",,"15.813,07",,"15.934,58",,"16.032,87","16.014,75",,"16.213,55",,"16.262,66"
