Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;29.069,39;29.126,55;29.294,68;29.396,67;29.498,06;29.617,07;29.712,80;29.758,60;29.942,78;30.092,38;30.392,22;30.776,05
2;29.068,46;29.129,37;29.301,98;29.398,56;29.501,98;29.620,88;29.715,77;29.759,56;29.950,47;30.096,38;30.403,92;30.789,30
3;29.067,52;29.132,18;29.309,28;29.400,45;29.505,91;29.624,70;29.718,73;29.760,52;29.958,17;30.100,39;30.415,62;30.802,56
4;29.066,58;29.135,00;29.316,58;29.402,35;29.509,84;29.628,51;29.721,70;29.761,48;29.965,87;30.104,39;30.427,33;30.815,83
5;29.065,64;29.137,81;29.323,89;29.404,24;29.513,76;29.632,33;29.724,67;29.762,44;29.973,58;30.108,40;30.439,04;30.829,10
6;29.064,70;29.140,63;29.331,19;29.406,14;29.517,69;29.636,15;29.727,64;29.763,40;29.981,28;30.112,40;30.450,75;30.842,37
7;29.063,76;29.143,44;29.338,50;29.408,04;29.521,62;29.639,96;29.730,60;29.764,36;29.988,99;30.116,41;30.462,47;30.855,66
8;29.062,83;29.146,26;29.345,81;29.409,93;29.525,55;29.643,78;29.733,57;29.765,32;29.996,70;30.120,42;30.474,19;30.868,94
9;29.061,89;29.149,08;29.353,12;29.411,83;29.529,48;29.647,60;29.736,54;29.766,28;30.004,41;30.124,43;30.485,92;30.882,24
10;29.064,70;29.156,34;29.355,01;29.415,74;29.533,28;29.650,56;29.737,50;29.773,93;30.008,40;30.136,02;30.499,05;30.887,21
11;29.067,51;29.163,61;29.356,90;29.419,66;29.537,09;29.653,52;29.738,46;29.781,59;30.012,40;30.147,62;30.512,18;30.892,18
12;29.070,32;29.170,87;29.358,80;29.423,57;29.540,89;29.656,48;29.739,42;29.789,24;30.016,39;30.159,23;30.525,32;30.897,15
13;29.073,13;29.178,14;29.360,69;29.427,49;29.544,69;29.659,44;29.740,38;29.796,90;30.020,38;30.170,83;30.538,47;30.902,12
14;29.075,93;29.185,41;29.362,58;29.431,41;29.548,50;29.662,41;29.741,33;29.804,56;30.024,38;30.182,44;30.551,62;30.907,09
15;29.078,74;29.192,68;29.364,47;29.435,32;29.552,30;29.665,37;29.742,29;29.812,22;30.028,38;30.194,06;30.564,77;30.912,07
16;29.081,55;29.199,96;29.366,37;29.439,24;29.556,11;29.668,33;29.743,25;29.819,89;30.032,37;30.205,68;30.577,94;30.917,04
17;29.084,36;29.207,23;29.368,26;29.443,16;29.559,92;29.671,29;29.744,21;29.827,55;30.036,37;30.217,31;30.591,10;30.922,01
18;29.087,18;29.214,51;29.370,15;29.447,07;29.563,72;29.674,25;29.745,17;29.835,22;30.040,36;30.228,94;30.604,28;30.926,99
19;29.089,99;29.221,79;29.372,04;29.450,99;29.567,53;29.677,22;29.746,13;29.842,89;30.044,36;30.240,57;30.617,46;30.931,97
20;29.092,80;29.229,07;29.373,94;29.454,91;29.571,34;29.680,18;29.747,09;29.850,56;30.048,36;30.252,21;30.630,64;30.936,94
21;29.095,61;29.236,35;29.375,83;29.458,83;29.575,15;29.683,15;29.748,05;29.858,23;30.052,36;30.263,85;30.643,83;30.941,92
22;29.098,42;29.243,64;29.377,72;29.462,75;29.578,96;29.686,11;29.749,01;29.865,91;30.056,36;30.275,50;30.657,03;30.946,90
23;29.101,23;29.250,92;29.379,62;29.466,67;29.582,77;29.689,07;29.749,97;29.873,59;30.060,36;30.287,15;30.670,23;30.951,88
24;29.104,04;29.258,21;29.381,51;29.470,59;29.586,57;29.692,04;29.750,92;29.881,27;30.064,36;30.298,81;30.683,44;30.956,86
25;29.106,86;29.265,50;29.383,41;29.474,52;29.590,39;29.695,00;29.751,88;29.888,95;30.068,36;30.310,47;30.696,65;30.961,84
26;29.109,67;29.272,79;29.385,30;29.478,44;29.594,20;29.697,97;29.752,84;29.896,63;30.072,36;30.322,13;30.709,87;30.966,82
27;29.112,48;29.280,09;29.387,19;29.482,36;29.598,01;29.700,93;29.753,80;29.904,32;30.076,36;30.333,80;30.723,10;30.971,80
28;29.115,30;29.287,38;29.389,09;29.486,29;29.601,82;29.703,90;29.754,76;29.912,01;30.080,37;30.345,48;30.736,33;30.976,79
29;29.118,11;;29.390,98;29.490,21;29.605,63;29.706,87;29.755,72;29.919,70;30.084,37;30.357,16;30.749,56;30.981,77
30;29.120,92;;29.392,88;29.494,13;29.609,44;29.709,83;29.756,68;29.927,39;30.088,37;30.368,84;30.762,80;30.986,76
31;29.123,74;;29.394,77;;29.613,26;;29.757,64;29.935,08;;30.380,53;;30.991,74
