Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"16.262,66","16.226,45","16.202,29","16.197,66","16.257,01","16.326,94","16.355,74","16.347,96","16.392,22","16.457,22","16.572,44","16.716,02"
2,"16.262,66","16.224,88","16.201,71","16.197,66","16.259,71","16.329,04","16.356,29","16.347,43","16.394,33","16.459,41","16.576,70","16.721,02"
3,"16.262,66","16.223,30","16.201,13","16.197,66","16.262,42","16.331,14","16.356,83","16.346,91","16.396,44","16.461,60","16.580,96","16.726,01"
4,"16.262,66","16.221,73","16.200,55","16.197,66","16.265,12","16.333,24","16.357,38","16.346,38","16.398,55","16.463,79","16.585,22","16.731,01"
5,"16.262,66","16.220,16","16.199,97","16.197,66","16.267,83","16.335,35","16.357,92","16.345,85","16.400,66","16.465,98","16.589,48","16.736,00"
6,"16.262,66","16.218,59","16.199,39","16.197,66","16.270,53","16.337,45","16.358,47","16.345,32","16.402,78","16.468,17","16.593,75","16.741,00"
7,"16.262,66","16.217,02","16.198,81","16.197,66","16.273,24","16.339,56","16.359,01","16.344,79","16.404,89","16.470,36","16.598,01","16.746,00"
8,"16.262,66","16.215,44","16.198,23","16.197,66","16.275,94","16.341,66","16.359,56","16.344,27","16.407,00","16.472,55","16.602,28","16.751,01"
9,"16.262,66","16.213,87","16.197,66","16.197,66","16.278,65","16.343,76","16.360,10","16.343,74","16.409,11","16.474,75","16.606,55","16.756,01"
10,"16.261,08","16.213,29","16.197,66","16.200,35","16.280,75","16.344,30","16.359,57","16.345,84","16.411,29","16.478,99","16.611,51","16.755,47"
11,"16.259,51","16.212,71","16.197,66","16.203,05","16.282,84","16.344,85","16.359,04","16.347,95","16.413,48","16.483,22","16.616,47","16.754,93"
12,"16.257,93","16.212,13","16.197,66","16.205,74","16.284,94","16.345,39","16.358,52","16.350,06","16.415,66","16.487,46","16.621,44","16.754,39"
13,"16.256,36","16.211,55","16.197,66","16.208,44","16.287,04","16.345,94","16.357,99","16.352,16","16.417,85","16.491,70","16.626,40","16.753,85"
14,"16.254,78","16.210,97","16.197,66","16.211,13","16.289,13","16.346,48","16.357,46","16.354,27","16.420,03","16.495,94","16.631,37","16.753,31"
15,"16.253,21","16.210,39","16.197,66","16.213,83","16.291,23","16.347,03","16.356,93","16.356,37","16.422,22","16.500,18","16.636,33","16.752,77"
16,"16.251,63","16.209,82","16.197,66","16.216,52","16.293,33","16.347,57","16.356,40","16.358,48","16.424,40","16.504,42","16.641,30","16.752,22"
17,"16.250,06","16.209,24","16.197,66","16.219,22","16.295,43","16.348,12","16.355,88","16.360,59","16.426,59","16.508,66","16.646,27","16.751,68"
18,"16.248,48","16.208,66","16.197,66","16.221,91","16.297,53","16.348,66","16.355,35","16.362,69","16.428,77","16.512,91","16.651,25","16.751,14"
19,"16.246,91","16.208,08","16.197,66","16.224,61","16.299,63","16.349,21","16.354,82","16.364,80","16.430,96","16.517,15","16.656,22","16.750,60"
20,"16.245,33","16.207,50","16.197,66","16.227,31","16.301,73","16.349,75","16.354,29","16.366,91","16.433,15","16.521,40","16.661,20","16.750,06"
21,"16.243,76","16.206,92","16.197,66","16.230,01","16.303,82","16.350,30","16.353,77","16.369,02","16.435,33","16.525,64","16.666,17","16.749,52"
22,"16.242,18","16.206,34","16.197,66","16.232,71","16.305,92","16.350,84","16.353,24","16.371,12","16.437,52","16.529,89","16.671,15","16.748,98"
23,"16.240,61","16.205,76","16.197,66","16.235,40","16.308,02","16.351,39","16.352,71","16.373,23","16.439,71","16.534,14","16.676,13","16.748,44"
24,"16.239,03","16.205,18","16.197,66","16.238,10","16.310,12","16.351,93","16.352,18","16.375,34","16.441,90","16.538,39","16.681,11","16.747,90"
25,"16.237,46","16.204,60","16.197,66","16.240,80","16.312,23","16.352,47","16.351,65","16.377,45","16.444,08","16.542,64","16.686,09","16.747,36"
26,"16.235,89","16.204,02","16.197,66","16.243,50","16.314,33","16.353,02","16.351,13","16.379,56","16.446,27","16.546,90","16.691,08","16.746,82"
27,"16.234,31","16.203,44","16.197,66","16.246,20","16.316,43","16.353,56","16.350,60","16.381,67","16.448,46","16.551,15","16.696,06","16.746,28"
28,"16.232,74","16.202,87","16.197,66","16.248,91","16.318,53","16.354,11","16.350,07","16.383,78","16.450,65","16.555,40","16.701,05","16.745,74"
29,"16.231,17",,"16.197,66","16.251,61","16.320,63","16.354,65","16.349,54","16.385,89","16.452,84","16.559,66","16.706,04","16.745,20"
30,"16.229,59",,"16.197,66","16.254,31","16.322,73","16.355,20","16.349,02","16.388,00","16.455,03","16.563,92","16.711,03","16.744,66"
31,"16.228,02",,"16.197,66",,"16.324,83",,"16.348,49","16.390,11",,"16.568,18",,"16.744,12"
