Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"14.685,87","14.744,11","14.731,45","14.729,73","14.798,31","14.865,89","14.892,13","14.907,15","14.922,06","14.947,80","14.977,95","15.029,60"
2,"14.686,34","14.746,48","14.729,87","14.730,20","14.801,26","14.867,81","14.892,63","14.907,63","14.922,54","14.948,79","14.978,91","15.031,60"
3,"14.686,81","14.748,85","14.728,29","14.730,68","14.804,21","14.869,72","14.893,12","14.908,11","14.923,02","14.949,79","14.979,88","15.033,60"
4,"14.687,29","14.751,23","14.726,71","14.731,15","14.807,16","14.871,64","14.893,62","14.908,59","14.923,50","14.950,78","14.980,84","15.035,61"
5,"14.687,76","14.753,60","14.725,13","14.731,63","14.810,11","14.873,55","14.894,12","14.909,07","14.923,99","14.951,78","14.981,81","15.037,61"
6,"14.688,23","14.755,97","14.723,55","14.732,10","14.813,07","14.875,47","14.894,61","14.909,55","14.924,47","14.952,77","14.982,77","15.039,61"
7,"14.688,71","14.758,35","14.721,97","14.732,58","14.816,02","14.877,39","14.895,11","14.910,03","14.924,95","14.953,77","14.983,74","15.041,61"
8,"14.689,18","14.760,72","14.720,39","14.733,05","14.818,98","14.879,30","14.895,60","14.910,52","14.925,43","14.954,77","14.984,71","15.043,61"
9,"14.689,65","14.763,10","14.718,81","14.733,53","14.821,93","14.881,22","14.896,10","14.911,00","14.925,91","14.955,76","14.985,67","15.045,61"
10,"14.692,01","14.761,52","14.719,28","14.736,47","14.823,84","14.881,72","14.896,58","14.911,48","14.926,90","14.956,72","14.987,66","15.046,58"
11,"14.694,38","14.759,93","14.719,76","14.739,41","14.825,75","14.882,21","14.897,06","14.911,96","14.927,90","14.957,69","14.989,66","15.047,55"
12,"14.696,74","14.758,35","14.720,23","14.742,35","14.827,66","14.882,71","14.897,54","14.912,44","14.928,89","14.958,65","14.991,65","15.048,52"
13,"14.699,11","14.756,76","14.720,71","14.745,29","14.829,57","14.883,20","14.898,02","14.912,92","14.929,89","14.959,62","14.993,65","15.049,49"
14,"14.701,47","14.755,18","14.721,18","14.748,23","14.831,48","14.883,70","14.898,50","14.913,40","14.930,88","14.960,58","14.995,64","15.050,46"
15,"14.703,84","14.753,60","14.721,66","14.751,17","14.833,39","14.884,20","14.898,98","14.913,88","14.931,88","14.961,54","14.997,64","15.051,43"
16,"14.706,20","14.752,02","14.722,13","14.754,11","14.835,30","14.884,69","14.899,46","14.914,37","14.932,87","14.962,51","14.999,64","15.052,40"
17,"14.708,57","14.750,43","14.722,61","14.757,05","14.837,21","14.885,19","14.899,94","14.914,85","14.933,86","14.963,47","15.001,63","15.053,37"
18,"14.710,94","14.748,85","14.723,08","14.759,99","14.839,12","14.885,68","14.900,42","14.915,33","14.934,86","14.964,44","15.003,63","15.054,34"
19,"14.713,30","14.747,27","14.723,56","14.762,94","14.841,03","14.886,18","14.900,90","14.915,81","14.935,85","14.965,40","15.005,62","15.055,31"
20,"14.715,67","14.745,68","14.724,03","14.765,88","14.842,94","14.886,67","14.901,38","14.916,29","14.936,85","14.966,37","15.007,62","15.056,28"
21,"14.718,04","14.744,10","14.724,51","14.768,83","14.844,85","14.887,17","14.901,86","14.916,77","14.937,84","14.967,33","15.009,62","15.057,25"
22,"14.720,41","14.742,52","14.724,98","14.771,77","14.846,76","14.887,67","14.902,34","14.917,25","14.938,84","14.968,30","15.011,62","15.058,22"
23,"14.722,77","14.740,94","14.725,46","14.774,72","14.848,68","14.888,16","14.902,83","14.917,73","14.939,83","14.969,26","15.013,61","15.059,19"
24,"14.725,14","14.739,36","14.725,93","14.777,66","14.850,59","14.888,66","14.903,31","14.918,21","14.940,83","14.970,23","15.015,61","15.060,16"
25,"14.727,51","14.737,78","14.726,40","14.780,61","14.852,50","14.889,15","14.903,79","14.918,69","14.941,82","14.971,19","15.017,61","15.061,13"
26,"14.729,88","14.736,19","14.726,88","14.783,56","14.854,41","14.889,65","14.904,27","14.919,18","14.942,82","14.972,16","15.019,61","15.062,10"
27,"14.732,25","14.734,61","14.727,35","14.786,51","14.856,33","14.890,15","14.904,75","14.919,66","14.943,81","14.973,12","15.021,61","15.063,08"
28,"14.734,62","14.733,03","14.727,83","14.789,46","14.858,24","14.890,64","14.905,23","14.920,14","14.944,81","14.974,09","15.023,61","15.064,05"
29,"14.736,99",,"14.728,30","14.792,41","14.860,15","14.891,14","14.905,71","14.920,62","14.945,80","14.975,05","15.025,61","15.065,02"
30,"14.739,37",,"14.728,78","14.795,36","14.862,07","14.891,64","14.906,19","14.921,10","14.946,80","14.976,02","15.027,60","15.065,99"
31,"14.741,75",,"14.729,25",,"14.863,98",,"14.906,67","14.921,58",,"14.976,98",,"15.066,96"
