Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"15.067,93","15.109,24","15.142,82","15.218,57","15.320,25","15.405,67","15.448,13","15.479,29","15.498,76","15.536,85","15.618,44","15.711,34"
2,"15.068,90","15.110,70","15.143,87","15.221,50","15.323,81","15.408,15","15.449,16","15.480,29","15.499,26","15.538,40","15.621,45","15.714,48"
3,"15.069,87","15.112,16","15.144,91","15.224,44","15.327,38","15.410,63","15.450,19","15.481,28","15.499,76","15.539,96","15.624,46","15.717,61"
4,"15.070,84","15.113,62","15.145,95","15.227,38","15.330,94","15.413,11","15.451,21","15.482,28","15.500,26","15.541,51","15.627,48","15.720,74"
5,"15.071,82","15.115,08","15.147,00","15.230,32","15.334,51","15.415,59","15.452,24","15.483,28","15.500,76","15.543,06","15.630,50","15.723,88"
6,"15.072,79","15.116,54","15.148,04","15.233,26","15.338,07","15.418,07","15.453,27","15.484,28","15.501,26","15.544,61","15.633,51","15.727,01"
7,"15.073,76","15.118,01","15.149,08","15.236,20","15.341,64","15.420,55","15.454,30","15.485,28","15.501,76","15.546,16","15.636,53","15.730,15"
8,"15.074,73","15.119,47","15.150,13","15.239,14","15.345,21","15.423,03","15.455,33","15.486,27","15.502,26","15.547,72","15.639,55","15.733,29"
9,"15.075,70","15.120,93","15.151,17","15.242,08","15.348,77","15.425,51","15.456,36","15.487,27","15.502,76","15.549,27","15.642,57","15.736,43"
10,"15.077,16","15.121,97","15.154,09","15.245,62","15.351,24","15.426,54","15.457,36","15.487,77","15.504,31","15.552,27","15.645,69","15.737,95"
11,"15.078,61","15.123,01","15.157,02","15.249,17","15.353,71","15.427,56","15.458,35","15.488,27","15.505,86","15.555,27","15.648,81","15.739,47"
12,"15.080,07","15.124,06","15.159,94","15.252,72","15.356,18","15.428,59","15.459,35","15.488,77","15.507,40","15.558,27","15.651,93","15.740,99"
13,"15.081,53","15.125,10","15.162,87","15.256,26","15.358,65","15.429,62","15.460,35","15.489,27","15.508,95","15.561,28","15.655,05","15.742,51"
14,"15.082,99","15.126,14","15.165,80","15.259,81","15.361,12","15.430,65","15.461,34","15.489,77","15.510,50","15.564,28","15.658,17","15.744,03"
15,"15.084,44","15.127,18","15.168,72","15.263,36","15.363,59","15.431,68","15.462,34","15.490,27","15.512,05","15.567,28","15.661,30","15.745,56"
16,"15.085,90","15.128,22","15.171,65","15.266,91","15.366,07","15.432,70","15.463,33","15.490,77","15.513,60","15.570,29","15.664,42","15.747,08"
17,"15.087,36","15.129,27","15.174,58","15.270,46","15.368,54","15.433,73","15.464,33","15.491,27","15.515,15","15.573,29","15.667,54","15.748,60"
18,"15.088,82","15.130,31","15.177,51","15.274,01","15.371,01","15.434,76","15.465,33","15.491,76","15.516,70","15.576,30","15.670,67","15.750,12"
19,"15.090,27","15.131,35","15.180,44","15.277,56","15.373,48","15.435,79","15.466,33","15.492,26","15.518,25","15.579,30","15.673,79","15.751,64"
20,"15.091,73","15.132,39","15.183,37","15.281,11","15.375,96","15.436,81","15.467,32","15.492,76","15.519,80","15.582,31","15.676,92","15.753,17"
21,"15.093,19","15.133,44","15.186,30","15.284,67","15.378,43","15.437,84","15.468,32","15.493,26","15.521,35","15.585,32","15.680,04","15.754,69"
22,"15.094,65","15.134,48","15.189,23","15.288,22","15.380,91","15.438,87","15.469,32","15.493,76","15.522,90","15.588,33","15.683,17","15.756,21"
23,"15.096,11","15.135,52","15.192,16","15.291,78","15.383,38","15.439,90","15.470,31","15.494,26","15.524,45","15.591,33","15.686,30","15.757,73"
24,"15.097,57","15.136,56","15.195,09","15.295,33","15.385,86","15.440,93","15.471,31","15.494,76","15.526,00","15.594,34","15.689,43","15.759,26"
25,"15.099,03","15.137,61","15.198,02","15.298,89","15.388,33","15.441,96","15.472,31","15.495,26","15.527,55","15.597,35","15.692,56","15.760,78"
26,"15.100,49","15.138,65","15.200,95","15.302,45","15.390,81","15.442,98","15.473,30","15.495,76","15.529,10","15.600,36","15.695,69","15.762,30"
27,"15.101,94","15.139,69","15.203,89","15.306,01","15.393,28","15.444,01","15.474,30","15.496,26","15.530,65","15.603,37","15.698,82","15.763,82"
28,"15.103,40","15.140,74","15.206,82","15.309,57","15.395,76","15.445,04","15.475,30","15.496,76","15.532,20","15.606,38","15.701,95","15.765,35"
29,"15.104,86","15.141,78","15.209,76","15.313,13","15.398,24","15.446,07","15.476,30","15.497,26","15.533,75","15.609,40","15.705,08","15.766,87"
30,"15.106,32",,"15.212,69","15.316,69","15.400,72","15.447,10","15.477,29","15.497,76","15.535,30","15.612,41","15.708,21","15.768,40"
31,"15.107,78",,"15.215,63",,"15.403,19",,"15.478,29","15.498,26",,"15.615,42",,"15.769,92"
