Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"16.743,58","16.689,55","16.684,20","16.787,92","16.970,27","17.011,71","16.957,41","16.939,29","16.926,72","16.947,16","16.981,34","16.965,17"
2,"16.743,04","16.687,39","16.684,79","16.792,23","16.977,02","17.011,16","16.955,14","16.939,29","16.926,17","16.948,29","16.982,44","16.964,04"
3,"16.742,50","16.685,23","16.685,39","16.796,55","16.983,77","17.010,61","16.952,87","16.939,29","16.925,63","16.949,42","16.983,53","16.962,91"
4,"16.741,96","16.683,07","16.685,98","16.800,87","16.990,53","17.010,06","16.950,61","16.939,29","16.925,08","16.950,55","16.984,63","16.961,78"
5,"16.741,42","16.680,92","16.686,58","16.805,18","16.997,28","17.009,51","16.948,35","16.939,29","16.924,54","16.951,68","16.985,72","16.960,65"
6,"16.740,87","16.678,76","16.687,18","16.809,50","17.004,04","17.008,96","16.946,08","16.939,29","16.923,99","16.952,81","16.986,82","16.959,51"
7,"16.740,33","16.676,60","16.687,77","16.813,83","17.010,81","17.008,41","16.943,82","16.939,29","16.923,44","16.953,94","16.987,91","16.958,38"
8,"16.739,79","16.674,45","16.688,37","16.818,15","17.017,57","17.007,86","16.941,55","16.939,29","16.922,90","16.955,07","16.989,01","16.957,25"
9,"16.739,25","16.672,29","16.688,96","16.822,47","17.024,34","17.007,32","16.939,29","16.939,29","16.922,35","16.956,19","16.990,10","16.956,12"
10,"16.737,09","16.672,89","16.693,25","16.829,16","17.023,79","17.005,05","16.939,29","16.938,74","16.923,48","16.957,28","16.988,97","16.954,48"
11,"16.734,92","16.673,48","16.697,54","16.835,85","17.023,24","17.002,78","16.939,29","16.938,20","16.924,60","16.958,38","16.987,83","16.952,83"
12,"16.732,76","16.674,08","16.701,83","16.842,55","17.022,69","17.000,50","16.939,29","16.937,65","16.925,73","16.959,47","16.986,70","16.951,19"
13,"16.730,60","16.674,67","16.706,13","16.849,25","17.022,14","16.998,23","16.939,29","16.937,10","16.926,86","16.960,56","16.985,57","16.949,55"
14,"16.728,43","16.675,27","16.710,42","16.855,95","17.021,59","16.995,96","16.939,29","16.936,56","16.927,99","16.961,66","16.984,43","16.947,91"
15,"16.726,27","16.675,86","16.714,72","16.862,65","17.021,04","16.993,69","16.939,29","16.936,01","16.929,11","16.962,75","16.983,30","16.946,26"
16,"16.724,11","16.676,46","16.719,01","16.869,36","17.020,49","16.991,42","16.939,29","16.935,46","16.930,24","16.963,84","16.982,17","16.944,62"
17,"16.721,95","16.677,05","16.723,31","16.876,07","17.019,94","16.989,15","16.939,29","16.934,92","16.931,37","16.964,94","16.981,03","16.942,98"
18,"16.719,78","16.677,65","16.727,61","16.882,78","17.019,40","16.986,88","16.939,29","16.934,37","16.932,50","16.966,03","16.979,90","16.941,34"
19,"16.717,62","16.678,24","16.731,91","16.889,49","17.018,85","16.984,61","16.939,29","16.933,82","16.933,62","16.967,12","16.978,77","16.939,69"
20,"16.715,46","16.678,84","16.736,21","16.896,21","17.018,30","16.982,34","16.939,29","16.933,28","16.934,75","16.968,22","16.977,63","16.938,05"
21,"16.713,30","16.679,43","16.740,52","16.902,93","17.017,75","16.980,08","16.939,29","16.932,73","16.935,88","16.969,31","16.976,50","16.936,41"
22,"16.711,14","16.680,03","16.744,82","16.909,65","17.017,20","16.977,81","16.939,29","16.932,18","16.937,01","16.970,40","16.975,37","16.934,77"
23,"16.708,98","16.680,62","16.749,12","16.916,38","17.016,65","16.975,54","16.939,29","16.931,64","16.938,14","16.971,50","16.974,23","16.933,13"
24,"16.706,82","16.681,22","16.753,43","16.923,10","17.016,10","16.973,27","16.939,29","16.931,09","16.939,26","16.972,59","16.973,10","16.931,49"
25,"16.704,66","16.681,81","16.757,74","16.929,83","17.015,55","16.971,00","16.939,29","16.930,55","16.940,39","16.973,68","16.971,97","16.929,85"
26,"16.702,50","16.682,41","16.762,04","16.936,57","17.015,00","16.968,74","16.939,29","16.930,00","16.941,52","16.974,78","16.970,84","16.928,21"
27,"16.700,34","16.683,01","16.766,35","16.943,30","17.014,45","16.966,47","16.939,29","16.929,45","16.942,65","16.975,87","16.969,70","16.926,56"
28,"16.698,18","16.683,60","16.770,66","16.950,04","17.013,90","16.964,20","16.939,29","16.928,91","16.943,78","16.976,97","16.968,57","16.924,92"
29,"16.696,02",,"16.774,97","16.956,78","17.013,35","16.961,94","16.939,29","16.928,36","16.944,91","16.978,06","16.967,44","16.923,28"
30,"16.693,86",,"16.779,29","16.963,53","17.012,81","16.959,67","16.939,29","16.927,81","16.946,03","16.979,16","16.966,31","16.921,64"
31,"16.691,70",,"16.783,60",,"17.012,26",,"16.939,29","16.927,27",,"16.980,25",,"16.920,00"
