Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"12.483,21","12.514,21","12.551,09","12.608,03","12.689,01","12.806,84","12.915,02","12.980,88","13.023,17","13.071,45","13.133,88","13.218,24"
2,"12.483,62","12.515,42","12.552,38","12.610,06","12.691,97","12.810,95","12.918,45","12.982,55","13.024,43","13.073,19","13.135,99","13.221,32"
3,"12.484,02","12.516,63","12.553,68","12.612,09","12.694,92","12.815,06","12.921,88","12.984,22","13.025,69","13.074,93","13.138,11","13.224,39"
4,"12.484,42","12.517,84","12.554,98","12.614,12","12.697,87","12.819,18","12.925,31","12.985,90","13.026,95","13.076,67","13.140,22","13.227,47"
5,"12.484,82","12.519,05","12.556,27","12.616,15","12.700,82","12.823,29","12.928,75","12.987,57","13.028,21","13.078,41","13.142,34","13.230,54"
6,"12.485,23","12.520,26","12.557,57","12.618,18","12.703,78","12.827,41","12.932,18","12.989,24","13.029,47","13.080,15","13.144,45","13.233,62"
7,"12.485,63","12.521,47","12.558,87","12.620,21","12.706,73","12.831,53","12.935,61","12.990,91","13.030,72","13.081,89","13.146,57","13.236,70"
8,"12.486,03","12.522,68","12.560,16","12.622,24","12.709,68","12.835,65","12.939,05","12.992,59","13.031,98","13.083,63","13.148,68","13.239,78"
9,"12.486,43","12.523,89","12.561,46","12.624,27","12.712,64","12.839,77","12.942,49","12.994,26","13.033,24","13.085,37","13.150,80","13.242,86"
10,"12.487,64","12.525,18","12.563,48","12.627,21","12.716,72","12.843,18","12.944,16","12.995,52","13.034,97","13.087,48","13.153,86","13.244,57"
11,"12.488,84","12.526,48","12.565,50","12.630,14","12.720,80","12.846,59","12.945,82","12.996,77","13.036,71","13.089,58","13.156,92","13.246,27"
12,"12.490,05","12.527,77","12.567,52","12.633,08","12.724,89","12.850,01","12.947,49","12.998,03","13.038,44","13.091,69","13.159,98","13.247,98"
13,"12.491,26","12.529,07","12.569,55","12.636,02","12.728,97","12.853,42","12.949,16","12.999,28","13.040,18","13.093,79","13.163,04","13.249,68"
14,"12.492,46","12.530,36","12.571,57","12.638,96","12.733,06","12.856,83","12.950,83","13.000,54","13.041,91","13.095,90","13.166,10","13.251,39"
15,"12.493,67","12.531,65","12.573,59","12.641,89","12.737,15","12.860,25","12.952,49","13.001,80","13.043,65","13.098,01","13.169,16","13.253,10"
16,"12.494,88","12.532,95","12.575,61","12.644,83","12.741,24","12.863,66","12.954,16","13.003,05","13.045,39","13.100,12","13.172,22","13.254,80"
17,"12.496,09","12.534,24","12.577,64","12.647,78","12.745,33","12.867,08","12.955,83","13.004,31","13.047,12","13.102,22","13.175,29","13.256,51"
18,"12.497,29","12.535,54","12.579,66","12.650,72","12.749,42","12.870,50","12.957,50","13.005,57","13.048,86","13.104,33","13.178,35","13.258,22"
19,"12.498,50","12.536,83","12.581,69","12.653,66","12.753,51","12.873,92","12.959,17","13.006,82","13.050,59","13.106,44","13.181,41","13.259,92"
20,"12.499,71","12.538,13","12.583,71","12.656,60","12.757,60","12.877,34","12.960,84","13.008,08","13.052,33","13.108,55","13.184,48","13.261,63"
21,"12.500,92","12.539,42","12.585,74","12.659,54","12.761,70","12.880,76","12.962,51","13.009,34","13.054,07","13.110,66","13.187,55","13.263,34"
22,"12.502,13","12.540,72","12.587,76","12.662,49","12.765,80","12.884,18","12.964,17","13.010,59","13.055,81","13.112,77","13.190,61","13.265,05"
23,"12.503,33","12.542,01","12.589,79","12.665,43","12.769,90","12.887,60","12.965,84","13.011,85","13.057,54","13.114,88","13.193,68","13.266,76"
24,"12.504,54","12.543,31","12.591,81","12.668,38","12.773,99","12.891,03","12.967,51","13.013,11","13.059,28","13.116,99","13.196,75","13.268,46"
25,"12.505,75","12.544,61","12.593,84","12.671,32","12.778,10","12.894,45","12.969,18","13.014,37","13.061,02","13.119,10","13.199,82","13.270,17"
26,"12.506,96","12.545,90","12.595,86","12.674,27","12.782,20","12.897,88","12.970,85","13.015,62","13.062,76","13.121,21","13.202,89","13.271,88"
27,"12.508,17","12.547,20","12.597,89","12.677,22","12.786,30","12.901,30","12.972,52","13.016,88","13.064,49","13.123,32","13.205,96","13.273,59"
28,"12.509,38","12.548,49","12.599,92","12.680,17","12.790,41","12.904,73","12.974,20","13.018,14","13.066,23","13.125,43","13.209,03","13.275,30"
29,"12.510,58","12.549,79","12.601,94","12.683,11","12.794,51","12.908,16","12.975,87","13.019,40","13.067,97","13.127,54","13.212,10","13.277,01"
30,"12.511,79",,"12.603,97","12.686,06","12.798,62","12.911,59","12.977,54","13.020,65","13.069,71","13.129,66","13.215,17","13.278,72"
31,"12.513,00",,"12.606,00",,"12.802,73",,"12.979,21","13.021,91",,"13.131,77",,"13.280,43"
