Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"13.282,14","13.335,27","13.396,65","13.495,31","13.552,83","13.593,84","13.624,30","13.651,78","13.719,58","13.781,05","13.887,74","14.042,19"
2,"13.283,85","13.336,99","13.399,04","13.498,78","13.554,18","13.595,15","13.625,21","13.652,66","13.722,22","13.782,89","13.891,76","14.047,77"
3,"13.285,56","13.338,70","13.401,42","13.502,25","13.555,54","13.596,47","13.626,11","13.653,54","13.724,87","13.784,72","13.895,77","14.053,36"
4,"13.287,27","13.340,42","13.403,81","13.505,72","13.556,89","13.597,78","13.627,09","13.654,42","13.727,52","13.786,56","13.899,79","14.058,95"
5,"13.288,98","13.342,14","13.406,20","13.509,19","13.558,24","13.599,09","13.627,93","13.655,30","13.730,17","13.788,39","13.903,81","14.064,54"
6,"13.290,70","13.343,86","13.408,59","13.512,66","13.559,60","13.600,41","13.628,84","13.656,18","13.732,82","13.790,23","13.907,83","14.070,14"
7,"13.292,41","13.345,58","13.410,98","13.516,14","13.560,95","13.601,72","13.629,74","13.657,06","13.735,47","13.792,06","13.911,85","14.075,73"
8,"13.294,12","13.347,29","13.413,37","13.519,61","13.562,31","13.603,04","13.630,65","13.657,94","13.738,12","13.793,90","13.915,87","14.081,33"
9,"13.295,83","13.349,01","13.415,76","13.523,09","13.563,66","13.604,35","13.631,56","13.658,82","13.740,77","13.795,73","13.919,89","14.086,93"
10,"13.297,54","13.351,39","13.419,21","13.524,44","13.564,97","13.605,26","13.632,44","13.661,46","13.742,60","13.799,72","13.925,43","14.087,38"
11,"13.299,25","13.353,77","13.422,66","13.525,79","13.566,28","13.606,16","13.633,32","13.664,09","13.744,43","13.803,71","13.930,96","14.087,84"
12,"13.300,97","13.356,15","13.426,11","13.527,14","13.567,59","13.607,07","13.634,20","13.666,73","13.746,26","13.807,70","13.936,50","14.088,29"
13,"13.302,68","13.358,52","13.429,56","13.528,49","13.568,90","13.607,97","13.635,07","13.669,37","13.748,09","13.811,69","13.942,05","14.088,75"
14,"13.304,39","13.360,90","13.433,01","13.529,84","13.570,21","13.608,88","13.635,95","13.672,01","13.749,92","13.815,68","13.947,59","14.089,20"
15,"13.306,11","13.363,28","13.436,47","13.531,19","13.571,53","13.609,79","13.636,83","13.674,64","13.751,75","13.819,67","13.953,14","14.089,66"
16,"13.307,82","13.365,67","13.439,92","13.532,55","13.572,84","13.610,69","13.637,71","13.677,28","13.753,58","13.823,67","13.958,69","14.090,11"
17,"13.309,53","13.368,05","13.443,38","13.533,90","13.574,15","13.611,60","13.638,59","13.679,92","13.755,41","13.827,67","13.964,24","14.090,56"
18,"13.311,25","13.370,43","13.446,83","13.535,25","13.575,46","13.612,51","13.639,47","13.682,56","13.753,24","13.831,66","13.969,79","14.091,02"
19,"13.312,96","13.372,81","13.450,29","13.536,60","13.576,77","13.613,41","13.640,35","13.685,20","13.759,07","13.835,66","13.975,35","14.091,47"
20,"13.314,68","13.375,19","13.453,75","13.537,95","13.578,08","13.614,32","13.641,23","13.687,84","13.760,90","13.839,66","13.980,91","14.091,93"
21,"13.316,39","13.377,57","13.457,20","13.539,30","13.579,40","13.615,23","13.642,11","13.690,49","13.762,73","13.843,66","13.986,47","14.092,38"
22,"13.318,11","13.379,96","13.460,66","13.540,66","13.580,71","13.616,13","13.642,99","13.693,13","13.764,56","13.847,66","13.997,03","14.092,84"
23,"13.319,82","13.382,34","13.464,12","13.542,01","13.582,02","13.617,04","13.643,87","13.695,77","13.766,39","13.851,67","13.997,59","14.093,29"
24,"13.321,54","13.384,72","13.467,59","13.543,36","13.583,33","13.617,95","13.644,75","13.698,41","13.768,22","13.855,67","14.003,16","14.093,74"
25,"13.323,25","13.387,11","13.471,05","13.544,71","13.584,65","13.618,85","13.645,62","13.701,06","13.770,06","13.859,67","14.008,73","14.094,20"
26,"13.324,97","13.389,49","13.474,51","13.546,06","13.585,96","13.619,76","13.646,50","13.703,70","13.771,89","13.863,68","14.014,30","14.094,65"
27,"13.326,68","13.391,88","13.477,97","13.547,42","13.587,27","13.620,67","13.647,38","13.706,35","13.773,72","13.867,69","14.019,87","14.095,11"
28,"13.328,40","13.394,26","13.481,44","13.548,77","13.588,59","13.621,58","13.648,26","13.708,99","13.775,55","13.871,70","14.025,45","14.095,56"
29,"13.330,12",,"13.484,90","13.550,12","13.589,90","13.622,48","13.649,14","13.711,64","13.777,39","13.875,71","14.031,03","14.096,02"
30,"13.331,83",,"13.488,37","13.551,48","13.591,21","13.623,39","13.650,02","13.714,28","13.779,22","13.879,72","14.036,61","14.096,47"
31,"13.333,55",,"13.491,84",,"13.592,52",,"13.650,90","13.716,93",,"13.883,73",,"14.096,93"
