Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"10.623,53","10.642,03","10.723,47","10.777,93","10.873,14","10.945,34","11.071,74","11.154,06","11.218,10","11.325,93","11.401,13","11.466,01"
2,"10.623,87","10.642,72","10.727,28","10.778,97","10.877,11","10.947,10","11.076,87","11.155,85","11.220,26","11.330,06","11.402,97","11.468,30"
3,"10.624,21","10.643,41","10.731,09","10.780,01","10.881,08","10.948,86","11.082,00","11.157,65","11.222,43","11.334,19","11.404,80","11.470,58"
4,"10.624,55","10.644,09","10.734,90","10.781,05","10.885,04","10.950,62","11.087,14","11.159,44","11.224,60","11.338,33","11.406,64","11.472,87"
5,"10.624,90","10.644,78","10.738,72","10.782,09","10.889,01","10.952,38","11.092,28","11.161,24","11.226,76","11.342,46","11.408,47","11.475,16"
6,"10.625,24","10.645,46","10.742,54","10.783,14","10.892,99","10.954,15","11.097,42","11.163,03","11.228,93","11.346,60","11.410,31","11.477,45"
7,"10.625,58","10.646,15","10.746,35","10.784,18","10.896,96","10.955,91","11.102,57","11.164,83","11.231,10","11.350,74","11.412,14","11.479,74"
8,"10.625,92","10.646,84","10.750,17","10.785,22","10.900,93","10.957,67","11.107,71","11.166,63","11.233,26","11.354,88","11.413,98","11.482,03"
9,"10.626,27","10.647,52","10.754,00","10.786,26","10.904,91","10.959,43","11.112,86","11.168,42","11.235,43","11.359,02","11.415,82","11.484,31"
10,"10.626,95","10.651,30","10.755,04","10.790,19","10.906,66","10.964,51","11.114,65","11.170,58","11.239,53","11.360,85","11.418,10","11.486,53"
11,"10.627,64","10.655,09","10.756,08","10.794,13","10.908,42","10.969,59","11.116,44","11.172,73","11.243,63","11.362,68","11.420,37","11.488,74"
12,"10.628,32","10.658,88","10.757,12","10.798,07","10.910,17","10.974,68","11.118,23","11.174,89","11.247,73","11.364,50","11.422,65","11.490,96"
13,"10.629,01","10.662,67","10.758,16","10.802,00","10.911,93","10.979,76","11.120,01","11.177,04","11.251,83","11.366,33","11.424,93","11.493,18"
14,"10.629,69","10.666,46","10.759,20","10.805,94","10.913,69","10.984,85","11.121,80","11.179,20","11.255,93","11.368,16","11.427,21","11.495,40"
15,"10.630,38","10.670,25","10.760,24","10.809,89","10.915,44","10.989,95","11.123,59","11.181,36","11.260,04","11.369,99","11.429,49","11.497,61"
16,"10.631,07","10.674,04","10.761,28","10.813,83","10.917,20","10.995,04","11.125,38","11.183,52","11.264,15","11.371,82","11.431,77","11.499,83"
17,"10.631,75","10.677,83","10.762,32","10.817,77","10.918,95","11.000,14","11.127,17","11.185,67","11.268,26","11.373,65","11.434,05","11.502,05"
18,"10.632,44","10.681,63","10.763,36","10.821,72","10.920,71","11.005,24","11.128,96","11.187,83","11.272,37","11.375,48","11.436,33","11.504,27"
19,"10.633,12","10.685,43","10.764,40","10.825,67","10.922,47","11.010,34","11.130,75","11.189,99","11.276,48","11.377,31","11.438,61","11.506,49"
20,"10.633,81","10.689,22","10.765,44","10.829,61","10.924,23","11.015,44","11.132,54","11.192,15","11.280,59","11.379,14","11.440,89","11.508,71"
21,"10.634,49","10.693,02","10.766,48","10.833,56","10.925,98","11.020,55","11.134,34","11.194,31","11.284,70","11.380,97","11.443,17","11.510,93"
22,"10.635,18","10.696,82","10.767,52","10.837,52","10.927,74","11.025,66","11.136,13","11.196,47","11.288,82","11.382,80","11.445,45","11.513,16"
23,"10.635,86","10.700,63","10.768,56","10.841,47","10.929,50","11.030,77","11.137,92","11.198,63","11.292,94","11.384,63","11.447,73","11.515,38"
24,"10.636,55","10.704,43","10.769,60","10.845,42","10.931,26","11.035,88","11.139,71","11.200,79","11.297,06","11.386,47","11.450,02","11.517,60"
25,"10.637,23","10.708,23","10.770,64","10.849,38","10.933,02","11.040,99","11.141,50","11.202,96","11.301,18","11.388,30","11.452,30","11.519,82"
26,"10.637,92","10.712,04","10.771,68","10.853,33","10.934,78","11.046,11","11.143,30","11.205,12","11.305,30","11.390,13","11.454,58","11.522,05"
27,"10.638,61","10.715,85","10.772,72","10.857,29","10.936,54","11.051,23","11.145,09","11.207,28","11.309,42","11.391,96","11.456,87","11.524,27"
28,"10.639,29","10.719,66","10.773,76","10.861,25","10.938,30","11.056,36","11.146,88","11.209,44","11.313,55","11.393,80","11.459,15","11.526,49"
29,"10.639,98",,"10.774,80","10.865,21","10.940,06","11.061,48","11.148,68","11.211,61","11.317,67","11.395,63","11.461,44","11.528,72"
30,"10.640,66",,"10.775,84","10.869,18","10.941,82","11.066,61","11.150,47","11.213,77","11.321,80","11.397,46","11.463,72","11.530,94"
31,"10.641,35",,"10.776,89",,"10.943,58",,"11.152,26","11.215,93",,"11.399,30",,"11.533,17"
