Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"8.288,69","8.381,72","8.474,43","8.462,17","8.492,37","8.590,11","8.688,21","8.758,81","8.846,11","8.962,03","9.148,37","9.296,51"
2,"8.291,08","8.384,95","8.477,63","8.460,53","8.494,35","8.593,69","8.691,38","8.760,78","8.849,23","8.966,18","9.155,08","9.300,82"
3,"8.293,48","8.388,18","8.480,83","8.458,89","8.496,32","8.597,27","8.694,55","8.762,76","8.852,36","8.970,34","9.161,80","9.305,13"
4,"8.295,88","8.391,40","8.484,03","8.457,24","8.498,30","8.600,85","8.697,72","8.764,73","8.855,48","8.974,50","9.168,52","9.309,44"
5,"8.298,27","8.394,63","8.487,23","8.455,60","8.500,27","8.604,43","8.700,90","8.766,70","8.858,61","8.978,66","9.175,25","9.313,76"
6,"8.300,67","8.397,86","8.490,43","8.453,96","8.502,25","8.608,02","8.704,07","8.768,67","8.861,73","8.982,82","9.181,98","9.318,08"
7,"8.303,07","8.401,10","8.493,63","8.452,32","8.504,23","8.611,61","8.707,24","8.770,65","8.864,86","8.986,98","9.188,72","9.322,40"
8,"8.305,47","8.404,33","8.496,84","8.450,68","8.506,21","8.615,20","8.710,42","8.772,62","8.867,99","8.991,15","9.195,46","9.326,72"
9,"8.307,87","8.407,56","8.500,04","8.449,04","8.508,18","8.618,79","8.713,60","8.774,60","8.871,12","8.995,32","9.202,21","9.331,04"
10,"8.311,07","8.410,73","8.498,39","8.451,00","8.511,73","8.621,93","8.715,56","8.777,70","8.875,23","9.001,92","9.206,48","9.335,23"
11,"8.314,27","8.413,91","8.496,74","8.452,97","8.515,27","8.625,08","8.717,52","8.780,80","8.879,35","9.008,53","9.210,74","9.339,41"
12,"8.317,47","8.417,08","8.495,09","8.454,94","8.518,82","8.628,22","8.719,48","8.783,89","8.883,46","9.015,14","9.215,01","9.343,60"
13,"8.320,67","8.420,26","8.493,44","8.456,90","8.522,37","8.631,37","8.721,45","8.787,00","8.887,58","9.021,75","9.219,28","9.347,79"
14,"8.323,87","8.423,43","8.491,79","8.458,87","8.525,92","8.634,52","8.723,41","8.790,10","8.891,70","9.028,37","9.223,56","9.351,99"
15,"8.327,07","8.426,61","8.490,15","8.460,84","8.529,48","8.637,67","8.725,37","8.793,20","8.895,82","9.035,00","9.227,83","9.356,18"
16,"8.330,28","8.429,79","8.488,50","8.462,80","8.533,03","8.640,82","8.727,34","8.796,30","8.899,94","9.041,63","9.232,11","9.360,38"
17,"8.333,48","8.432,97","8.486,85","8.464,77","8.536,59","8.643,97","8.729,30","8.799,41","8.904,07","9.048,26","9.236,39","9.364,58"
18,"8.336,69","8.436,15","8.485,20","8.466,74","8.540,14","8.647,12","8.731,26","8.802,51","8.908,20","9.054,90","9.240,67","9.368,78"
19,"8.339,90","8.439,34","8.483,55","8.468,71","8.543,70","8.650,28","8.733,23","8.805,62","8.912,33","9.061,55","9.244,95","9.372,98"
20,"8.343,11","8.442,52","8.481,91","8.470,68","8.547,26","8.653,43","8.735,19","8.808,73","8.916,46","9.068,20","9.249,24","9.377,19"
21,"8.346,32","8.445,71","8.480,26","8.472,65","8.550,83","8.656,59","8.737,16","8.811,84","8.920,59","9.074,85","9.253,53","9.381,39"
22,"8.349,53","8.448,89","8.478,62","8.474,62","8.554,39","8.659,75","8.739,13","8.814,95","8.924,73","9.081,51","9.257,82","9.385,60"
23,"8.352,75","8.452,08","8.476,97","8.476,59","8.557,95","8.662,90","8.741,09","8.818,06","8.928,86","9.088,17","9.262,11","9.389,81"
24,"8.355,96","8.455,27","8.475,32","8.478,56","8.561,52","8.666,06","8.743,06","8.821,17","8.933,00","9.094,84","9.266,40","9.394,02"
25,"8.359,18","8.458,46","8.473,68","8.480,53","8.565,09","8.669,22","8.745,03","8.824,29","8.937,14","9.101,52","9.270,70","9.398,24"
26,"8.362,39","8.461,65","8.472,03","8.482,50","8.568,66","8.672,39","8.747,00","8.827,40","8.941,29","9.108,19","9.274,99","9.402,45"
27,"8.365,61","8.464,84","8.470,39","8.484,48","8.572,23","8.675,55","8.748,96","8.830,52","8.945,43","9.114,88","9.279,29","9.406,67"
28,"8.368,83","8.468,04","8.468,75","8.486,45","8.575,80","8.678,71","8.750,93","8.833,63","8.949,58","9.121,57","9.283,59","9.410,89"
29,"8.372,05","8.471,23","8.467,10","8.488,42","8.579,38","8.681,88","8.752,90","8.836,75","8.953,73","9.128,26","9.287,90","9.415,11"
30,"8.375,27",,"8.465,46","8.490,40","8.582,95","8.685,05","8.754,87","8.839,87","8.957,88","9.134,96","9.292,20","9.419,34"
31,"8.378,50",,"8.463,81",,"8.586,53",,"8.756,84","8.842,99",,"9.141,66",,"9.423,56"
